X,Y
0,493
8,374
0.5,474
1.5,454
1,434
1.5,429
0,397.5
0,328.5
4.5,302
1.5,296
1.5,250
0.5,231.5
0,215.5
0,192
0,188.5
2.5,176
1.5,163.5
0.5,159
0.5,148
0,102
0,96
0,86
8.5,18
8,18
32,24.5
57.5,37
10,74.5
27,36
65,48.5
20,66.5
41.5,76.5
27.5,104
30,123
83.5,32
85,22
86.5,54
117,27
140,17
177.5,18
52.5,80
93,55.5
95,69.5
31,485
18,461.5
5,461.5
7,463
14.5,443.5
20,438.5
20,438
12,384
16,364
7.5,342
0.5,323
2.5,317
7,299.5
6.5,292
3,283
23,271
16,242
20,229
20.5,235
28,208
17,194
34,179
37.5,108
45,106
46.5,85
91,71.5
60,89
120,67
130,90
130,62
140,61
157,49
175,60.5
118.5,144
148,81
160,128
186,129
182,50
182,69.5
190,65
175.5,80.5
178.5,77.5
19,351
19.5,349
15,378
12,386.5
18,388.5
25.5,386.5
18.5,397.5
24,357
25,391
32,392
46,371
40,452
58,339.5
60,361
90,259
111.5,214
124,204
107.5,244
102,257
110,259
84.5,289
92.5,278
130.5,254
154,238.5
125.5,261.5
104,279
105,281
136.5,257.5
145,279.5
75,369.5
75,373.5
81,361
89,348.5
84,357
87,371.5
97,416
95,302
106,284
105,275.5
116,290.5
6,344
131,362
105,380
102,391
105,405
92,391
75,413
104,426.5
109,414
91,450
81,469.5
120,323
123.5,359
129,370
138,364
131,338
133,323.5
139,330
150,322
154,351.5
152.5,367.5
148,364
154,377
159.5,381.5
132,406
123,441
121,484
490,101
485,132
467,135.5
462,102
455,112
441,60
391,99.5
393.5,52
372,35.5
370,10
364,40
376,70
381,92
376,73
368,8
340,19.5
331.5,119.5
364,145
361,188.5
411,160
451,196
411,200
361,209
306,144
282,109
280,109
271.5,126.5
284,104.5
296,73
117,455
131.5,430
140.5,418
141,276.5
144.5,301.5
154.5,340
165.5,228.5
166.5,490
168,467
162.5,424.5
170,448
171,370.5
170,480.5
170.5,477
174.5,438
182,410
456,393.5
437,290.5
430,414.5
421.5,421.5
418.5,395.5
416,305
403.5,460
390,354
395,362.5
400,293
356,44.5
334,390
376.5,362
367,342
366,274.5
341,322
336,270
180,300
180,320
207,467
234,468.5
243,465
252,457
251,445
272,393
267,370.5
277,331
298,315.5
292,301.5
306,245.5
301,262
293,271
181.5,290
288,263.5
270,275
262,284
255.5,288
244.5,280
261.5,230.5
269,238.5
250,218
242,238
203,176.5
207.5,205.5
214,210
177,219
204,218
211,236
201.5,248.5
233,262.5
184.5,270
261.5,251.5
271,273
248,281.5
230,280.5
219.5,280.5
177,273.5
170,289.5
180.5,313.5
191,306.5
221.5,295
264.5,305.5
254,301.5
260,223
244,325
422.5,321
228.5,325
251,326.5
248,333
209,338
225,349.5
200,329.5
233,369.5
226.5,373.5
296,371
250,381
254,402.5
245,405
244,397
221.5,445
258,436
214.5,434
234,142.5
198,132.5
203,158
286,157
301,186.5
269,177
296,216
240,171
270,106.5
250,3
260.5,50
241,87.5
222,74
236,55.5
222,25
241,45
230,24.5
234,89
220,81
210,86
206,70
188,76.5
185,85
212,95
210,118
194,126.5
202,127
234,142
