X,Y
77.0,54.0
181.0,12.0
163.5,32.0
6.5,455.0
15.0,390.0
18.0,353.5
10.0,260.0
27.0,189.0
42.5,180.0
86.0,81.0
68.5,110.0
150.0,47.0
163.0,33.0
156.0,48.0
120.0,141.5
162.0,139.0
176.5,132.5
185.0,105.0
195.0,61.0
23.0,335.0
35.5,493.0
43.0,454.0
85.0,244.0
119.5,258.0
121.0,255.0
117.0,272.0
73.0,363.0
75.5,364.0
110.0,271.5
69.0,466.0
448.0,99.0
383.0,11.0
379.0,14.0
384.0,20.0
382.0,20.0
377.0,23.0
379.5,14.5
344.5,98.0
431.0,186.5
253.0,22.5
183.5,67.0
183.5,83.0
219.0,104.0
200.0,117.0
203.0,153.5
196.0,151.0
201.0,98.0
241.0,153.5
286.0,182.0
285.0,182.0
261.0,166.0
158.5,385.5
141.5,399.5
167.0,248.0
265.0,271.0
254.0,250.5
261.5,235.0
215.5,275.0
250.0,240.5
253.0,251.0
200.0,307.5
224.0,286.5
227.0,293.5
196.0,310.5
209.0,334.5
217.0,332.0
216.0,368.0
