X,Y
47,152
46.5,155
67.5,179
52.5,164
41,176
41,182
41,197.5
41,198.5
59.5,13
59.5,18
29,253
26.5,259
78,71
275,204
25,220
23,218
20,193
22.5,192
26,190
25.5,196
26.5,193
29,180
28,187
63,20
63,20
71.5,87
72,104
72,105
67,108
44.5,112
33.5,108
69,104.5
65,109
55,107
71.5,140
61,141
56,141.5
56,141.5
52,146
46.5,133.5
47,151
47,151
13,2
16,9
17,5
18,11
12,7
12.5,8.5
3,18
34,30
0.5,79
3,87
5,91
23,86
0,120
12,115
8,116
6.5,131
6,140
7,164
11,155
0,160
0,161
5,179
15,148.5
20,184.5
12.5,212.5
0.5,174
1,202
2.5,220
1.5,239
3,223.5
7,227
2,240
6.5,243
6.5,260
6.5,258
6.5,264.5
7.5,215
7.5,220
7.5,278
0,234
0,245
0,252
4.5,252.5
14,242
11,260
9,260
9,261
9,256
9,259
7.5,294
6.5,312
0,322
0,316
0,315
0,322
8,278
8,322
9,316
3,329
10,295.5
8.5,297
9,310
7,324
11,313
9,327
11,316
11,318
11.5,288
6.5,309
7,329
4.5,350
7,364
19,389
18,390
9,363.5
10.5,358.5
11,354
10.5,352.5
10.5,341
10.5,351
9,331
9,332
11,332
11,337
11,348
0,372
0,366
0,370.5
0,372
0.5,377
0.5,386
1,382
1.5,369
3,380
6,365
6.5,405
4,420
13.5,456
13.5,500
8,494
16,489
19,482
20,468
21,500
24,445
25.5,423
21.5,427
19.5,412
19.5,415
22.5,404
24,410
20,390
13.5,409
12,428
15,425.5
16.5,400
17,371
18,391.5
15,398
10.5,379
10.5,385
14,393
15,380
17,375
17,383
18.5,393
18,385
21.5,379
17.5,361
20,348.5
16.5,325
14,325.5
15,328
15,325
16.5,312
16,353
24,346.5
27,352
25.5,357
15.5,361
15.5,362
15.5,363
15.5,364
12,318.5
15.5,318
15.5,323
21,337
12,350
18,366
16.5,364
18,350
17.5,346
17.5,352
22,344
22.5,314
18,316
28.5,281
28.5,288
9,226
12.5,222
16,224
16.5,215
14.5,237.5
20,257
15.5,249
25.5,240
16,233.5
12.5,244
